,date,revenue,rev_per_transaction
894,2016-05-08,1881265.30804062,1652.5271618683837
895,2016-05-11,1525359.473214896,865.4540293909065
896,2016-05-14,1662212.6502245942,1132.8976790625782
897,2016-05-17,1622904.536791814,958.9463834102143
898,2016-05-20,1666418.6731888375,1185.7742378323214
899,2016-05-23,2025077.2407588854,1636.3893216161227
900,2016-05-26,1575322.6797347404,966.2668134115577
901,2016-05-29,1906764.2366455584,1568.1504223232207
902,2016-06-01,1972575.7704647575,1203.4828814832874
903,2016-06-04,1733523.115793347,1048.9372830926109
904,2016-06-07,2169535.061695136,1221.8995745257748
905,2016-06-10,2116658.574865336,1334.6886142945714
906,2016-06-13,2830943.5,1813.3067446708626
907,2016-06-16,2863856.7,1592.9915567252776
908,2016-06-19,3392968.3200000008,2751.0805991809366
909,2016-06-22,1909240.0,1045.1999439825836
910,2016-06-25,2760622.55,2171.8847728414485
911,2016-06-28,2418860.27,1691.605948755738
912,2016-07-01,2649743.25,1977.1477942958709
913,2016-07-04,2555599.5,1804.0931486676018
914,2016-07-07,2195264.8800000004,1397.277611202332
915,2016-07-10,1267110.0,1215.6176817868738
916,2016-07-13,1070321.95,637.9932116115601
917,2016-07-16,1302095.025,1122.052114939185
918,2016-07-19,1084448.36,624.8565811673404
919,2016-07-22,1049710.5450000002,611.6089153989992
920,2016-07-25,1083868.56,594.8067413618921
921,2016-07-28,1126800.225,651.5055363880379
922,2016-07-31,1205755.02,965.8382820643524
923,2016-08-03,1187784.0,812.6594366093935
924,2016-08-06,1232269.97,1047.0009564438747
925,2016-08-09,949947.25,508.09317020675724
926,2016-08-12,1093307.25,699.2345904890267
927,2016-08-15,1035485.43,745.115097291223
928,2016-08-18,1105741.56,710.8770533645599
929,2016-08-21,1182381.625,1042.3149573562496
930,2016-08-24,1110792.9,714.2131894131687
931,2016-08-27,1024500.66,772.0022974599422
932,2016-08-30,1194622.055,774.5519952964014
933,2016-09-02,1109403.0,751.5348673491076
934,2016-09-05,1072259.87,659.3218720765275
935,2016-09-08,1134450.0,719.6320802093337
936,2016-09-11,1251012.5,1137.3408318596826
937,2016-09-14,1197718.9,806.0575858498707
938,2016-09-17,1239350.125,937.2941477712977
939,2016-09-20,1166565.275,719.7332403513086
940,2016-09-23,1027531.44,626.130894003683
941,2016-09-26,1165493.715,772.7231057681058
942,2016-09-29,1083864.36,638.5391318749229
943,2016-10-02,1074561.0,786.3335167087912
944,2016-10-05,1281294.75,801.9767672622193
945,2016-10-08,1311355.5,884.0998575828172
946,2016-10-11,1114413.27,587.723880371066
947,2016-10-14,1090902.33,618.8897101666918
948,2016-10-17,1001040.495,527.4586138252849
949,2016-10-20,1065517.32,528.0690912049708
950,2016-10-23,1186462.78,891.8072029147398
951,2016-10-26,1204154.595,740.8574950204494
952,2016-10-29,1338194.475,868.0911004662827
953,2016-11-01,1321902.0,771.7570971011554
954,2016-11-04,1036526.64,484.742928605121
955,2016-11-07,1294398.36,689.0093027223905
956,2016-11-10,1501227.0,929.3673528046163
957,2016-11-13,1259145.885,813.5340379662763
958,2016-11-16,1590935.5,939.7460935621906
959,2016-11-19,1337807.52,760.6048520179372
960,2016-11-22,1264052.4,593.0051345248307
